date,red_ag_prices,red_cattle,red_census_hort,red_cert_org,red_cold_stor,red_crop_prog_cond,red_dairy_prod,red_local_foods,red_outlier
9/29/2019,,12,,,,,,,
9/30/2019,,6,,,,,,,
10/1/2019,,27,,,,,,,
10/2/2019,,1,,,,,,,
10/4/2019,,19,,,,,,,
10/5/2019,,3,,,,,,,
10/6/2019,,9,,,,,,,
10/7/2019,,16,,,,,,,
10/8/2019,,3,,,,,,,
10/13/2019,6,,,,,,,,
10/14/2019,4,,,,,,,,
10/16/2019,,1,,1,,,,,
10/17/2019,,2,,,,,,,
10/25/2019,,4,,,,,,,
10/26/2019,,3,,,,,,,
10/28/2019,,4,,,,,,,
10/29/2019,,41,,,,,,,
10/30/2019,,5,,,,,,,
10/31/2019,,2,,,,,,,
11/1/2019,,1,,,,,,,
11/2/2019,,2,,,,,,,
11/3/2019,,5,,,,,,,
11/7/2019,,12,,,,,,,
11/8/2019,,7,,,,,,,
11/9/2019,,4,,,,,,,
11/10/2019,,17,,,,,,,
11/11/2019,,11,,,,,,,
11/12/2019,,1,,,,,,,
11/14/2019,,1,,,,,,,
11/18/2019,,2,,,,,,,
11/23/2019,,15,,,,,,,
11/24/2019,,23,,,,,,,
11/25/2019,,1,,,,,,,
11/27/2019,,1,,,,,,,
12/2/2019,,11,,,,,,,
12/3/2019,,1,,,,,,,
12/11/2019,,9,,,,,,,
12/18/2019,,1,,,,,,,
12/24/2019,,1,,,,,,,
1/3/2020,,1,,,,,,,
1/11/2020,,7,,,,,,,
1/12/2020,,3,,,,,,,
1/17/2020,,,,4,,,,,
1/18/2020,,,,,,,8,,
1/19/2020,,1,,,,,,,
1/24/2020,,3,,,,,,,
1/26/2020,,2,,,,,,,
1/28/2020,,,3,,,3,,,
1/29/2020,,,11,,,11,,,
2/1/2020,,28,,,,,,,
2/2/2020,,1,,,,,,,
2/6/2020,,,,6,,,,,
2/7/2020,,25,,,,,,,
2/11/2020,,4,,,,,,,
2/16/2020,,1,,,,,,,
2/17/2020,,5,,,,,,,
2/18/2020,,3,,,,,,,
2/19/2020,,5,,,,,,,
2/21/2020,,1,,,,,,,
2/22/2020,,3,,,,,,,
2/23/2020,,2,,,,,,,
2/24/2020,,4,,,,,,,
2/25/2020,,4,,,,,,,
2/29/2020,,1,,,,,,,
3/3/2020,,520,,,,,3796,,
3/4/2020,,164,,,,,88,4,
3/5/2020,,28,,,15,,20,,
3/6/2020,,93,,,54,,,,
3/7/2020,,8,,,3,,,,
3/9/2020,,1,,,,,,,
3/10/2020,,,,,15,,,,
3/12/2020,,19,,,,,,,
3/22/2020,,,,,,,,2,
3/26/2020,,4,,,,,,,
3/27/2020,,3,,,,,,,
3/31/2020,,1,,,,,,,
4/4/2020,,,,,,,4,,
4/6/2020,,,,,,,4,,
4/10/2020,,,,,,,4,,
4/11/2020,,,3,,,3,12,,
4/12/2020,,1,2,,,2,,,
4/13/2020,,5,2,,,2,,,
4/14/2020,,1,,,,,,,
4/15/2020,,11,,,,,,,
4/16/2020,,7,,,,,,,
4/17/2020,,,1,,,1,9,,
4/18/2020,,,,,,,3,,
4/21/2020,,3,,,,,,,
4/22/2020,,2,,,,,,,
4/23/2020,,4,,,,,,,
4/24/2020,,2,,,,,2,,
4/27/2020,,,,,,,8,,
5/2/2020,,254,,,,,,,
5/3/2020,,40,,,,,,,
5/4/2020,,41,,,,,,,
5/5/2020,,40,,,,,,,
5/6/2020,,18,,,,,,,
5/7/2020,,4,,,,,,,
5/8/2020,,2,,,,,,,
5/10/2020,,7,,,,,,,
5/11/2020,,23,,,,,,,
5/12/2020,,6,,,,,,,
5/13/2020,,2,,,,,80,,
5/16/2020,,31,,,,,,,
5/17/2020,,33,,,,,,,
5/18/2020,,5,,,,,,,
5/19/2020,,3,,,,,,,
5/20/2020,,1,,,,,,,
5/22/2020,,8,,,,,,,
5/23/2020,,10,,,,,,,
5/24/2020,,15,,,,,,,
5/25/2020,,7,,,,,,,
5/27/2020,,3,,,,,,,
5/28/2020,,2,15,,,15,,,
6/4/2020,,,1,,,1,,,
6/8/2020,,5,,,,,,,
6/10/2020,,13,,,,,,,
6/11/2020,,4,,,,,,,
6/14/2020,,1,,,,,,,
6/15/2020,,16,,,,,,,
6/16/2020,,19,,,,,,,
6/17/2020,,1,,,,,,,
6/18/2020,,1,,,,,,,
6/21/2020,,3,,,,,,,
6/22/2020,,8,,,,,,,
6/23/2020,,16,,,,,,,
6/24/2020,,26,,,,,,,
6/25/2020,,5,,,,,,,
6/26/2020,,23,,,,,,,
6/27/2020,,7,,,,,,,
6/28/2020,,3,,6,,,,,
6/29/2020,,1,,4,,,,,
6/30/2020,,11,,,,,,,
7/1/2020,,11,,,,,,,
7/2/2020,,3,,,,,,,
7/3/2020,,12,,,,,,,
7/4/2020,,1,,,,,,,
7/6/2020,,1,,,,,,,
7/7/2020,,1,,,,,,,
7/10/2020,,8,,,,,,,
7/11/2020,,2,,,,,,,
7/12/2020,,2,,,,,,,
7/13/2020,,6,,,,,,,
7/14/2020,,3,,21,,,,,
7/15/2020,,4,,5,,,,,
7/16/2020,,9,,3,,,,,
7/17/2020,,1,,,,,,,
7/20/2020,,,,1,,,,,
7/23/2020,,100,,,,,,,
7/24/2020,,120,,,,,,,
7/25/2020,,8,,,,,60,,
7/26/2020,,,,,,,8,,
7/27/2020,,,2,,,2,5,,
7/28/2020,,,10,,,10,,,
7/29/2020,,,1,,,1,,,
8/6/2020,,8,,,,,,,
8/7/2020,,3,,,,,,,
8/13/2020,,40,12,,,12,,,
8/14/2020,,1,19,,,19,,,
8/16/2020,,,4,,,4,,,
8/17/2020,,,4,,,4,,,
8/18/2020,,12,,,,,,,
8/19/2020,,10,,,,,,,
8/20/2020,,1,,,,,,,
8/28/2020,,15,,6,,,,,
8/29/2020,,13,,,,,,,
8/31/2020,2,1,,,,,,,
9/1/2020,6,4,,,,,,,
9/4/2020,,4,,,,,,,
9/8/2020,,,,1,,,,,
9/14/2020,,23,,,,,,,
9/15/2020,,4,,,,,,,
9/17/2020,,2,,,,,,,
9/18/2020,,2,,,,,,,
10/3/2020,,1,,,,,,,
11/20/2020,,,,1,,,,,
