"","date.x","ag_prices","cattle","cattle_feed","census_hort","cold_stor","crop_prog_cond","dairy_prod","hop_stocks","live_slaughter","local_foods","rice_stocks","organic","ddate","date.y","geo.x","time.x","gprop.x","category","gtw_ag_prices","gtw_cattle","gtw_cattle_feed","gtw_cold_stor","gtw_crop_prog_cond","gtw_dairy_prod","gtw_hop_stocks","gtw_live_slaughter","gtw_local_foods","gtw_rice_stocks","date.x.x","geo.y","time.y","gprop.y","gtn_cattle","gtn_cold_stor","gtn_crop_prod_cond","gtn_dairy_prod","gtn_local_foods","date.y.y","red_ag_prices","red_cattle","red_census_hort","red_cert_org","red_cold_stor","red_crop_prog_cond","red_dairy_prod","red_local_foods","tdate","cattle100"
"16","01/16/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15 19:00:00,NA
"17","01/17/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16 19:00:00,NA
"18","01/18/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/18/2019",NA,5,NA,NA,NA,NA,NA,NA,2019-01-17 19:00:00,NA
"19","01/19/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/19/2019",NA,2,NA,NA,NA,NA,NA,NA,2019-01-18 19:00:00,NA
"20","01/20/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-20,"1/20/2019","US","2018-11-01 2020-11-01","web",0,NA,82,3,67,1,79,2,2,3,1,"1/20/2019","US","2018-11-01 2020-11-01","news",27,NA,NA,NA,NA,"1/20/2019",NA,1,NA,NA,NA,NA,NA,NA,2019-01-19 19:00:00,NA
"21","01/21/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/21/2019",NA,4,NA,NA,NA,NA,NA,NA,2019-01-20 19:00:00,NA
"22","01/22/19",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/22/2019",NA,2,NA,NA,NA,NA,NA,NA,2019-01-21 19:00:00,NA
"23","01/23/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-22 19:00:00,NA
"24","01/24/19",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23 19:00:00,NA
"25","01/25/19",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-24 19:00:00,NA
"26","01/26/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-25 19:00:00,NA
"27","01/27/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-27,"1/27/2019","US","2018-11-01 2020-11-01","web",0,NA,85,4,78,2,68,NA,2,2,1,"1/27/2019","US","2018-11-01 2020-11-01","news",55,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-26 19:00:00,NA
"28","01/28/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-27 19:00:00,NA
"29","01/29/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/29/2019",NA,6,NA,NA,NA,NA,NA,NA,2019-01-28 19:00:00,NA
"30","01/30/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/30/2019",NA,11,NA,NA,NA,NA,NA,NA,2019-01-29 19:00:00,NA
"31","01/31/19",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-30 19:00:00,NA
"32","02/01/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/1/2019",NA,1,NA,NA,NA,NA,NA,NA,2019-01-31 19:00:00,NA
"33","02/02/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-01 19:00:00,NA
"34","02/03/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-03,"2/3/2019","US","2018-11-01 2020-11-01","web",0,NA,82,3,75,NA,73,2,5,2,NA,"2/3/2019","US","2018-11-01 2020-11-01","news",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-02 19:00:00,NA
"35","02/04/19",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/4/2019",NA,5,NA,NA,NA,NA,NA,NA,2019-02-03 19:00:00,NA
"36","02/05/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/5/2019",NA,3,NA,NA,NA,NA,NA,NA,2019-02-04 19:00:00,NA
"37","02/06/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-05 19:00:00,NA
"38","02/07/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-06 19:00:00,NA
"39","02/08/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-07 19:00:00,NA
"40","02/09/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-08 19:00:00,NA
"41","02/10/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-10,"2/10/2019","US","2018-11-01 2020-11-01","web",0,NA,84,3,66,2,77,2,2,2,2,"2/10/2019","US","2018-11-01 2020-11-01","news",28,NA,NA,NA,NA,"2/10/2019",NA,5,NA,NA,NA,NA,NA,NA,2019-02-09 19:00:00,NA
"42","02/11/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/11/2019",NA,10,NA,NA,NA,NA,NA,NA,2019-02-10 19:00:00,NA
"43","02/12/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/12/2019",NA,13,NA,NA,NA,NA,NA,NA,2019-02-11 19:00:00,NA
"44","02/13/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/13/2019",NA,109,NA,NA,NA,NA,NA,NA,2019-02-12 19:00:00,NA
"45","02/14/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-13 19:00:00,NA
"46","02/15/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-14 19:00:00,NA
"47","02/16/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-15 19:00:00,NA
"48","02/17/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-17,"2/17/2019","US","2018-11-01 2020-11-01","web",0,NA,81,7,68,NA,72,2,2,2,NA,"2/17/2019","US","2018-11-01 2020-11-01","news",55,69,NA,NA,NA,"2/17/2019",NA,13,NA,NA,NA,NA,NA,NA,2019-02-16 19:00:00,NA
"49","02/18/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/18/2019",NA,1,NA,NA,NA,NA,NA,NA,2019-02-17 19:00:00,NA
"50","02/19/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/19/2019",NA,NA,NA,NA,18,NA,NA,NA,2019-02-18 19:00:00,NA
"51","02/20/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/20/2019",NA,NA,NA,NA,6,NA,NA,NA,2019-02-19 19:00:00,NA
"52","02/21/19",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-20 19:00:00,NA
"53","02/22/19",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/22/2019",NA,2,NA,NA,NA,NA,NA,NA,2019-02-21 19:00:00,NA
"54","02/23/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/23/2019",NA,2,NA,NA,NA,NA,NA,NA,2019-02-22 19:00:00,NA
"55","02/24/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-24,"2/24/2019","US","2018-11-01 2020-11-01","web",0,NA,87,2,68,NA,68,NA,2,3,2,"2/24/2019","US","2018-11-01 2020-11-01","news",27,NA,NA,NA,NA,"2/24/2019",NA,2,NA,NA,NA,NA,NA,NA,2019-02-23 19:00:00,NA
"56","02/25/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-24 19:00:00,NA
"57","02/26/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/26/2019",NA,8,NA,NA,NA,NA,NA,NA,2019-02-25 19:00:00,NA
"58","02/27/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/27/2019",NA,4,NA,NA,NA,NA,NA,NA,2019-02-26 19:00:00,NA
"59","02/28/19",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-27 19:00:00,NA
"60","03/01/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/1/2019",NA,4,NA,NA,NA,NA,NA,NA,2019-02-28 19:00:00,NA
"61","03/02/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/2/2019",NA,6,NA,NA,NA,NA,NA,NA,2019-03-01 19:00:00,NA
"62","03/03/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-03,"3/3/2019","US","2018-11-01 2020-11-01","web",0,NA,89,5,58,NA,91,NA,2,2,1,"3/3/2019","US","2018-11-01 2020-11-01","news",58,NA,NA,NA,NA,"3/3/2019",NA,9,NA,NA,NA,NA,NA,NA,2019-03-02 19:00:00,NA
"63","03/04/19",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/4/2019",NA,2,NA,NA,NA,NA,NA,NA,2019-03-03 19:00:00,NA
"64","03/05/19",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2019-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-04 19:00:00,100
"65","03/06/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-05 19:00:00,NA
"66","03/07/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-06 19:00:00,NA
"67","03/08/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-07 19:00:00,NA
"68","03/09/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-08 19:00:00,NA
"69","03/10/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-10,"3/10/2019","US","2018-11-01 2020-11-01","web",0,NA,83,2,67,1,65,NA,2,2,NA,"3/10/2019","US","2018-11-01 2020-11-01","news",27,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-09 19:00:00,NA
"70","03/11/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/11/2019",NA,1,NA,NA,NA,NA,NA,NA,2019-03-10 20:00:00,NA
"71","03/12/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/12/2019",NA,5,NA,NA,NA,NA,NA,NA,2019-03-11 20:00:00,NA
"72","03/13/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-12 20:00:00,NA
"73","03/14/19",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/14/2019",NA,NA,26,NA,NA,26,NA,NA,2019-03-13 20:00:00,NA
"74","03/15/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/15/2019",NA,NA,7,NA,NA,7,NA,NA,2019-03-14 20:00:00,NA
"75","03/16/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/16/2019",NA,1,5,NA,NA,5,NA,NA,2019-03-15 20:00:00,NA
"76","03/17/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-17,"3/17/2019","US","2018-11-01 2020-11-01","web",0,NA,86,8,63,NA,75,NA,2,2,1,"3/17/2019","US","2018-11-01 2020-11-01","news",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-16 20:00:00,NA
"77","03/18/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/18/2019",NA,NA,1,NA,NA,1,NA,NA,2019-03-17 20:00:00,NA
