date,geo,time,gprop,category,gtw_ag_prices,gtw_cattle,gtw_cattle_feed,gtw_cold_stor,gtw_crop_prog_cond,gtw_dairy_prod,gtw_hop_stocks,gtw_live_slaughter,gtw_local_foods,gtw_rice_stocks
10/27/2019,US,2018-11-01 2020-11-01,web,0,,69,3,77,3,66,,,3,1
11/3/2019,US,2018-11-01 2020-11-01,web,0,,81,3,68,4,63,5,2,2,
11/10/2019,US,2018-11-01 2020-11-01,web,0,,77,2,88,4,71,,5,2,1
11/17/2019,US,2018-11-01 2020-11-01,web,0,,78,6,54,4,86,,,2,
11/24/2019,US,2018-11-01 2020-11-01,web,0,,70,3,56,2,51,,2,1,
12/1/2019,US,2018-11-01 2020-11-01,web,0,,73,1,82,,72,,3,2,
12/8/2019,US,2018-11-01 2020-11-01,web,0,,75,2,65,3,71,,2,2,1
12/15/2019,US,2018-11-01 2020-11-01,web,0,,70,6,69,2,42,,2,2,1
12/22/2019,US,2018-11-01 2020-11-01,web,0,,66,2,50,,50,,,2,1
12/29/2019,US,2018-11-01 2020-11-01,web,0,,71,1,61,,54,2,2,2,1
1/5/2020,US,2018-11-01 2020-11-01,web,0,,77,2,61,2,73,,2,2,1
1/12/2020,US,2018-11-01 2020-11-01,web,0,,74,2,65,,76,2,2,2,1
1/19/2020,US,2018-11-01 2020-11-01,web,0,1,79,2,68,,72,2,,2,1
1/26/2020,US,2018-11-01 2020-11-01,web,0,,83,3,70,,71,,2,2,
2/2/2020,US,2018-11-01 2020-11-01,web,0,,81,2,67,1,79,,3,2,2
2/9/2020,US,2018-11-01 2020-11-01,web,0,,83,2,77,,78,,3,2,2
2/16/2020,US,2018-11-01 2020-11-01,web,0,,86,5,66,,76,2,2,2,1
2/23/2020,US,2018-11-01 2020-11-01,web,0,,84,1,59,1,67,2,,2,1
3/1/2020,US,2018-11-01 2020-11-01,web,0,,83,2,68,,70,,2,2,3
3/8/2020,US,2018-11-01 2020-11-01,web,0,,88,1,60,2,73,2,2,2,2
3/15/2020,US,2018-11-01 2020-11-01,web,0,,82,3,63,1,50,,2,2,3
3/22/2020,US,2018-11-01 2020-11-01,web,0,,86,3,62,,68,1,3,2,4
3/29/2020,US,2018-11-01 2020-11-01,web,0,1,86,2,62,1,78,1,3,2,3
4/5/2020,US,2018-11-01 2020-11-01,web,0,,90,4,49,2,79,1,4,2,2
4/12/2020,US,2018-11-01 2020-11-01,web,0,,89,3,62,1,68,,1,3,1
4/19/2020,US,2018-11-01 2020-11-01,web,0,,95,8,57,1,75,1,4,3,3
4/26/2020,US,2018-11-01 2020-11-01,web,0,,100,2,61,2,65,,7,2,3
5/3/2020,US,2018-11-01 2020-11-01,web,0,,91,2,56,3,71,1,3,3,1
5/10/2020,US,2018-11-01 2020-11-01,web,0,,94,2,65,2,78,,4,2,1
5/17/2020,US,2018-11-01 2020-11-01,web,0,,94,5,66,2,56,3,2,2,
5/24/2020,US,2018-11-01 2020-11-01,web,0,,79,,59,3,63,2,2,2,4
5/31/2020,US,2018-11-01 2020-11-01,web,0,,72,1,61,2,50,1,1,2,2
6/7/2020,US,2018-11-01 2020-11-01,web,0,,76,1,67,1,53,3,1,2,2
6/14/2020,US,2018-11-01 2020-11-01,web,0,,77,3,68,2,64,2,2,2,3
6/21/2020,US,2018-11-01 2020-11-01,web,0,,75,5,57,1,54,2,3,2,1
6/28/2020,US,2018-11-01 2020-11-01,web,0,,73,1,66,3,65,,2,2,2
7/5/2020,US,2018-11-01 2020-11-01,web,0,,75,2,65,2,51,,2,2,2
7/12/2020,US,2018-11-01 2020-11-01,web,0,,73,2,63,3,55,,,2,1
7/19/2020,US,2018-11-01 2020-11-01,web,0,,75,4,65,1,66,2,,2,1
7/26/2020,US,2018-11-01 2020-11-01,web,0,,77,2,67,1,66,,2,2,2
8/2/2020,US,2018-11-01 2020-11-01,web,0,,72,2,72,3,50,2,,3,3
8/9/2020,US,2018-11-01 2020-11-01,web,0,,72,2,67,1,48,,,3,2
8/16/2020,US,2018-11-01 2020-11-01,web,0,,72,4,76,3,63,,2,2,1
8/23/2020,US,2018-11-01 2020-11-01,web,0,,78,3,65,2,55,2,2,2,1
8/30/2020,US,2018-11-01 2020-11-01,web,0,,78,1,68,2,72,,,3,3
9/6/2020,US,2018-11-01 2020-11-01,web,0,,82,2,59,1,61,,3,3,2
9/13/2020,US,2018-11-01 2020-11-01,web,0,,82,1,74,1,76,,3,3,2
9/20/2020,US,2018-11-01 2020-11-01,web,0,,84,4,61,2,85,,2,2,1
9/27/2020,US,2018-11-01 2020-11-01,web,0,,77,4,68,2,70,2,,2,
10/4/2020,US,2018-11-01 2020-11-01,web,0,,76,4,69,1,79,,,2,
10/11/2020,US,2018-11-01 2020-11-01,web,0,1,80,2,60,5,72,2,2,2,2
10/18/2020,US,2018-11-01 2020-11-01,web,0,,84,4,69,3,81,,2,2,2
10/25/2020,US,2018-11-01 2020-11-01,web,0,,78,1,67,1,75,,2,3,2
11/1/2020,US,2018-11-01 2020-11-01,web,0,,62,2,59,1,65,2,3,1,
